Sl. No,Category,Expressways/Highways,EV Charging Stations Sanctioned
1,Expressways,Mumbai - Pune,10
2,Expressways,Ahmadabad - Vadodara,10
3,Expressways,Delhi Agra Yamuna,20
4,Expressways,Bengaluru Mysore,14
5,Expressways,Bangaluru-Chennai,30
6,Expressways,Surat-Mumbai,30
7,Expressways,Agra-Lucknow,40
8,Expressways,Eastern Peripheral (A),14
9,Expressways,Hyderabad ORR,16
1,Highways,Delhi - Srinagar,80
2,Highways,Delhi - Kolkata,160
3,Highways,Agra - Nagpur,80
4,Highways,Meerut to GangotriDham,44
5,Highways,Mumbai - Delhi,124
6,Highways,Mumbai-Panaji,60
7,Highways,Mumbai - Nagpur,70
8,Highways,Mumbai - Bengaluru,100
9,Highways,Kolkata - Bhubaneswar,44
10,Highways,Kolkata - Nagpur,120
11,Highways,Kolkata - Gangtok,76
12,Highways,Chennai-Bhubaneswar,120
13,Highways,Chennai - Trivendram,74
14,Highways,Chennai-Ballary,62
15,Highways,Chennai - Nagpur,114
16,Highways,Mangaldai - Wakro,64
Total,Total,Total,1576
