Sr. No.,State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total
1,Andaman & Nicobar Island,162,"1,46,945","1,47,107"
2,Andra Pradesh,NaN,NaN,NaN
3,Arunachal Pradesh,20,"2,52,965","2,52,985"
4,Assam,64766,"46,77,053","47,41,819"
5,Bihar,83335,"1,04,07,078","1,04,90,413"
6,Chandigarh,2812,"7,46,881","7,49,693"
7,Chhattisgarh,20966,"68,36,200","68,57,166"
8,Delhi,"1,56,393","76,85,600","78,41,993"
9,Goa,3870,"10,71,570","10,75,440"
10,Gujarat,45272,"2,06,05,484","2,06,50,756"
11,Haryana,37035,"1,07,78,270","1,08,15,305"
12,Himachal Pradesh,1175,"19,64,754","19,65,929"
13,Jammu and Kashmir,2941,"18,69,962","18,72,903"
14,Jharkhand,16811,"64,86,937","65,03,748"
15,Karnataka,"1,20,532","2,68,70,303","2,69,90,835"
16,Kerala,30775,"1,57,74,078","1,58,04,853"
17,Ladakh,26,38302,38328
18,Lakshadweep,NaN,NaN,NaN
19,Madhya Pradesh,NaN,NaN,NaN
20,Maharashtra,"1,16,646","3,10,58,990","3,11,75,636"
21,Manipur,586,"4,99,324","4,99,910"
22,Meghalaya,49,"4,59,001","4,59,050"
23,Mizoram,21,"3,15,626","3,15,647"
24,Nagaland,58,"3,39,129","3,39,187"
25,Odisha,23371,"98,45,073","98,68,444"
26,Puducherry,2149,"12,13,735","12,15,884"
27,Punjab,14804,"1,24,63,019","1,24,77,823"
28,Rajasthan,81338,"1,73,27,388","1,74,08,726"
29,Sikkim,21,97189,97210
30,Tamil Nadu,82051,"2,98,42,376","2,99,24,427"
31,Telangana,NaN,NaN,NaN
32,Tripura,9262,"6,50,026","6,59,288"
33,UT of DNH and DD,183,"3,07,671","3,07,854"
34,Uttarakhand,31008,"33,12,041","33,43,049"
35,Uttar Pradesh,"3,37,180","4,00,92,490","4,04,29,670"
36,West Bengal,48767,"1,41,34,171","1,41,82,938"
