S.No.,State Name,2WN,2WT,2WIC,3WN,3WT,LMV,LPV,LGV,4WIC,MMV,MPV,MGV,HPV,HGV,OTH,Grand Total
1,Andaman and Nicobar Island,2,5,NA,NA,30,86,6,NA,NA,NA,NA,NA,40,NA,NA,169
2,Andhra Pradesh,27629,NA,2,374,108,1050,3,166,NA,NA,NA,NA,NA,NA,1117,30449
3,Arunachal Pradesh,14,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,21
4,Assam,2287,NA,NA,NA,79661,233,5,15,NA,NA,NA,NA,15,NA,NA,82216
5,Bihar,13472,NA,NA,2,96560,231,8,21,1,NA,NA,1,27,2,NA,110325
6,Chandigarh,1004,NA,NA,NA,2683,391,2,NA,NA,NA,7,NA,73,NA,1,4161
7,Chhattisgarh,20112,NA,NA,130,9865,396,44,1070,NA,NA,1,NA,NA,7,367,31992
8,Delhi,43627,NA,2,NA,130429,5796,3415,50,4,NA,2,NA,416,NA,NA,183741
9,Goa,5555,1,NA,4,55,861,4,25,NA,NA,NA,NA,51,1,2,6559
10,Gujarat,67990,NA,3,32,2964,3926,91,51,6,2,60,6,364,7,153,75655
11,Haryana,17935,53,NA,NA,29699,425,478,118,NA,NA,2,NA,6,10,NA,48726
12,Himachal Pradesh,1190,NA,NA,1,183,69,56,2,NA,NA,2,1,74,5,NA,1583
13,Jammu and Kashmir,3294,NA,NA,NA,2148,55,9,4,NA,NA,2,NA,40,2,NA,5554
14,Jharkhand,8744,NA,NA,NA,14407,212,99,11,NA,NA,NA,NA,1,12,NA,23486
15,Karnataka,121733,9395,7,30,7105,9265,2160,103,1,NA,NA,4,370,5,1,150179
16,Kerala,38019,35,32,78,4008,5746,47,37,2,NA,1,NA,50,NA,NA,48055
17,Ladakh,26,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,8,NA,NA,44
18,Madhya Pradesh,11623,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,11792
19,Maharashtra,149977,5,4,37,11334,15583,954,49,1,4,242,NA,890,2,5,179087
20,Manipur,143,NA,NA,NA,610,4,1,NA,NA,NA,NA,1,NA,NA,NA,759
21,Meghalaya,35,NA,NA,7,7,20,NA,2,NA,NA,NA,1,NA,NA,NA,72
22,Mizoram,34,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,2,NA,44
23,Nagaland,50,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,3,NA,60
24,Odisha,32223,7,1,2,3638,468,44,35,NA,NA,NA,1,10,7,1,36437
25,Puducherry,2569,NA,NA,4,49,97,36,9,NA,NA,NA,NA,1,NA,NA,2765
26,Punjab,12784,NA,NA,1,8101,148,18,34,NA,NA,1,2,1,10,3,21103
27,Rajasthan,69685,70,4,NA,48898,2026,58,19,NA,NA,NA,NA,2,6,1,120769
28,Sikkim,1,NA,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA,1,NA,21
29,Tamil Nadu,96601,NA,2,41,6885,4101,203,1406,NA,NA,NA,4,9,15,5,109272
30,Tripura,196,NA,NA,NA,10708,11,1,8,NA,NA,NA,NA,NA,NA,NA,10924
31,Dadra and Nagar Haveli and Daman and Diu,126,NA,NA,NA,56,31,1,2,NA,NA,NA,NA,24,2,4,246
32,Uttar Pradesh,38043,20,1,1,375595,518,34,81,NA,NA,51,NA,633,NA,1,414978
33,Uttarakhand,7537,7,NA,NA,30122,469,36,1,NA,NA,1,NA,34,NA,NA,38207
34,West Bengal,9515,NA,NA,NA,42372,1305,188,20,1,NA,49,1,58,7,NA,53516
Grand Total,Grand Total,803775,9598,58,744,918281,53727,8016,3339,16,6,421,22,3197,106,1661,1802967
